Month,Geography,Seasonal adjustment,Prices,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Aug 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,502,384", -1.0%,  0.5%,102.7
Sep 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,520,964",  1.2%,  2.0%,103.9
Oct 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,527,651",  0.4%,  1.8%,104.4
Nov 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,529,285",  0.1%,  2.0%,104.5
Dec 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,535,717",  0.4%,  2.7%,105.0
Jan 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,538,379",  0.2%,  2.3%,105.1
Feb 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,537,381", -0.1%,  2.0%,105.1
Mar 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,551,047",  0.9%,  3.0%,106.0
Apr 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,554,989",  0.3%,  3.6%,106.3
May 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,556,495",  0.1%,  3.4%,106.4
Jun 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,564,093",  0.5%,  3.6%,106.9
Jul 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,565,550",  0.1%,  3.2%,107.0
Aug 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,572,221",  0.4%,  4.6%,107.5
Sep 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,576,659",  0.3%,  3.7%,107.8
Oct 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,577,208",  0.0%,  3.2%,107.8
Nov 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,583,191",  0.4%,  3.5%,108.2
Dec 2004,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,583,575",  0.0%,  3.1%,108.2
Jan 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,591,349",  0.5%,  3.4%,108.8
Feb 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,592,499",  0.1%,  3.6%,108.8
Mar 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,587,122", -0.3%,  2.3%,108.5
Apr 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,598,907",  0.7%,  2.8%,109.3
May 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,605,776",  0.4%,  3.2%,109.7
Jun 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,610,588",  0.3%,  3.0%,110.1
Jul 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,614,748",  0.3%,  3.1%,110.4
Aug 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,620,834",  0.4%,  3.1%,110.8
Sep 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,622,168",  0.1%,  2.9%,110.9
Oct 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,627,587",  0.3%,  3.2%,111.2
Nov 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,636,455",  0.5%,  3.4%,111.8
Dec 2005,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,645,055",  0.5%,  3.9%,112.4
Jan 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,649,021",  0.2%,  3.6%,112.7
Feb 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,652,615",  0.2%,  3.8%,112.9
Mar 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,656,380",  0.2%,  4.4%,113.2
Apr 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,656,732",  0.0%,  3.6%,113.2
May 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,657,513",  0.0%,  3.2%,113.3
Jun 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,654,837", -0.2%,  2.7%,113.1
Jul 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,657,920",  0.2%,  2.7%,113.3
Aug 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,659,196",  0.1%,  2.4%,113.4
Sep 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,656,876", -0.1%,  2.1%,113.2
Oct 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,659,594",  0.2%,  2.0%,113.4
Nov 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,663,364",  0.2%,  1.6%,113.7
Dec 2006,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,673,956",  0.6%,  1.8%,114.4
Jan 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,670,535", -0.2%,  1.3%,114.2
Feb 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,678,760",  0.5%,  1.6%,114.7
Mar 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,682,294",  0.2%,  1.6%,115.0
Apr 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,684,443",  0.1%,  1.7%,115.1
May 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,691,753",  0.4%,  2.1%,115.6
Jun 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,696,447",  0.3%,  2.5%,115.9
Jul 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,696,013",  0.0%,  2.3%,115.9
Aug 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,700,841",  0.3%,  2.5%,116.2
Sep 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,697,794", -0.2%,  2.5%,116.0
Oct 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,699,351",  0.1%,  2.4%,116.1
Nov 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,700,851",  0.1%,  2.3%,116.2
Dec 2007,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,694,291", -0.4%,  1.2%,115.8
Jan 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,701,279",  0.4%,  1.8%,116.3
Feb 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,698,189", -0.2%,  1.2%,116.1
Mar 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,701,248",  0.2%,  1.1%,116.3
Apr 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,704,814",  0.2%,  1.2%,116.5
May 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,704,784",  0.0%,  0.8%,116.5
Jun 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,708,170",  0.2%,  0.7%,116.7
Jul 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,715,622",  0.4%,  1.2%,117.3
Aug 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,714,295", -0.1%,  0.8%,117.2
Sep 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,714,712",  0.0%,  1.0%,117.2
Oct 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,712,871", -0.1%,  0.8%,117.1
Nov 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,695,651", -1.0%, -0.3%,115.9
Dec 2008,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,672,410", -1.4%, -1.3%,114.3
Jan 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,664,411", -0.5%, -2.2%,113.8
Feb 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,655,773", -0.5%, -2.5%,113.2
Mar 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,642,352", -0.8%, -3.5%,112.2
Apr 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,637,034", -0.3%, -4.0%,111.9
May 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,635,329", -0.1%, -4.1%,111.8
Jun 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,637,232",  0.1%, -4.2%,111.9
Jul 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,639,863",  0.2%, -4.4%,112.1
Aug 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,639,145",  0.0%, -4.4%,112.0
Sep 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,651,417",  0.7%, -3.7%,112.9
Oct 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,653,106",  0.1%, -3.5%,113.0
Nov 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,662,710",  0.6%, -1.9%,113.6
Dec 2009,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,667,429",  0.3%, -0.3%,114.0
Jan 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,677,635",  0.6%,  0.8%,114.7
Feb 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,686,315",  0.5%,  1.8%,115.3
Mar 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,694,468",  0.5%,  3.2%,115.8
Apr 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,692,492", -0.1%,  3.4%,115.7
May 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,700,050",  0.4%,  4.0%,116.2
Jun 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,704,611",  0.3%,  4.1%,116.5
Jul 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,707,189",  0.2%,  4.1%,116.7
Aug 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,712,496",  0.3%,  4.5%,117.0
Sep 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,712,435",  0.0%,  3.7%,117.0
Oct 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,721,370",  0.5%,  4.1%,117.6
Nov 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,729,551",  0.5%,  4.0%,118.2
Dec 2010,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,741,609",  0.7%,  4.4%,119.0
Jan 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,747,291",  0.3%,  4.2%,119.4
Feb 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,744,126", -0.2%,  3.4%,119.2
Mar 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,749,485",  0.3%,  3.2%,119.6
Apr 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,749,674",  0.0%,  3.4%,119.6
May 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,745,781", -0.2%,  2.7%,119.3
Jun 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,753,348",  0.4%,  2.9%,119.8
Jul 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,765,251",  0.7%,  3.4%,120.6
Aug 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,774,000",  0.5%,  3.6%,121.2
Sep 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,778,754",  0.3%,  3.9%,121.6
Oct 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,778,522",  0.0%,  3.3%,121.6
Nov 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,780,501",  0.1%,  2.9%,121.7
Dec 2011,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,789,093",  0.5%,  2.7%,122.3
Jan 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,787,647", -0.1%,  2.3%,122.2
Feb 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,783,169", -0.3%,  2.2%,121.9
Mar 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,787,826",  0.3%,  2.2%,122.2
Apr 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,794,148",  0.4%,  2.5%,122.6
May 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,797,125",  0.2%,  2.9%,122.8
Jun 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,798,133",  0.1%,  2.6%,122.9
Jul 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,801,749",  0.2%,  2.1%,123.1
Aug 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,799,417", -0.1%,  1.4%,123.0
Sep 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,799,218",  0.0%,  1.2%,123.0
Oct 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,798,409",  0.0%,  1.1%,122.9
Nov 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,806,944",  0.5%,  1.5%,123.5
Dec 2012,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,806,713",  0.0%,  1.0%,123.5
Jan 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,816,978",  0.6%,  1.6%,124.2
Feb 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,822,370",  0.3%,  2.2%,124.5
Mar 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,828,635",  0.3%,  2.3%,125.0
Apr 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,831,835",  0.2%,  2.1%,125.2
May 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,836,826",  0.3%,  2.2%,125.5
Jun 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,830,161", -0.4%,  1.8%,125.1
Jul 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,840,718",  0.6%,  2.2%,125.8
Aug 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,848,826",  0.4%,  2.7%,126.4
Sep 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,855,132",  0.3%,  3.1%,126.8
Oct 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,865,193",  0.5%,  3.7%,127.5
Nov 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,869,835",  0.2%,  3.5%,127.8
Dec 2013,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,862,159", -0.4%,  3.1%,127.3
Jan 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,863,035",  0.0%,  2.5%,127.3
Feb 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,872,372",  0.5%,  2.7%,128.0
Mar 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,877,319",  0.3%,  2.7%,128.3
Apr 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,881,089",  0.2%,  2.7%,128.6
May 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,892,936",  0.6%,  3.1%,129.4
Jun 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,901,582",  0.5%,  3.9%,130.0
Jul 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,904,250",  0.1%,  3.5%,130.1
Aug 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,900,262", -0.2%,  2.8%,129.9
Sep 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,907,872",  0.4%,  2.8%,130.4
Oct 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,913,355",  0.3%,  2.6%,130.8
Nov 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,914,614",  0.1%,  2.4%,130.9
Dec 2014,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,917,559",  0.2%,  3.0%,131.1
Jan 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,909,603", -0.4%,  2.5%,130.5
Feb 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,907,049", -0.1%,  1.9%,130.3
Mar 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,905,988", -0.1%,  1.5%,130.3
Apr 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,905,441",  0.0%,  1.3%,130.2
May 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,904,409", -0.1%,  0.6%,130.2
Jun 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,909,593",  0.3%,  0.4%,130.5
Jul 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,914,406",  0.3%,  0.5%,130.8
Aug 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,918,458",  0.2%,  1.0%,131.1
Sep 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,910,530", -0.4%,  0.1%,130.6
Oct 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,912,301",  0.1%, -0.1%,130.7
Nov 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,916,787",  0.2%,  0.1%,131.0
Dec 2015,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,918,886",  0.1%,  0.1%,131.1
Jan 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,930,434",  0.6%,  1.1%,131.9
Feb 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,924,854", -0.3%,  0.9%,131.6
Mar 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,917,766", -0.4%,  0.6%,131.1
Apr 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,922,103",  0.2%,  0.9%,131.4
May 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,911,266", -0.6%,  0.4%,130.6
Jun 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,920,490",  0.5%,  0.6%,131.3
Jul 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,931,887",  0.6%,  0.9%,132.0
Aug 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,936,423",  0.2%,  0.9%,132.3
Sep 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,941,422",  0.3%,  1.6%,132.7
Oct 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,940,404", -0.1%,  1.5%,132.6
Nov 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,947,701",  0.4%,  1.6%,133.1
Dec 2016,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,953,152",  0.3%,  1.8%,133.5
Jan 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,962,254",  0.5%,  1.6%,134.1
Feb 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,969,304",  0.4%,  2.3%,134.6
Mar 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,978,060",  0.4%,  3.1%,135.2
Apr 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,987,668",  0.5%,  3.4%,135.8
May 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,992,055",  0.2%,  4.2%,136.1
Jun 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,996,878",  0.2%,  4.0%,136.5
Jul 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,996,019",  0.0%,  3.3%,136.4
Aug 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,994,122", -0.1%,  3.0%,136.3
Sep 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,999,220",  0.3%,  3.0%,136.6
Oct 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,999,518",  0.0%,  3.0%,136.7
Nov 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,008,970",  0.5%,  3.1%,137.3
Dec 2017,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,014,340",  0.3%,  3.1%,137.7
Jan 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,020,721",  0.3%,  3.0%,138.1
Feb 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,031,403",  0.5%,  3.2%,138.8
Mar 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,039,914",  0.4%,  3.1%,139.4
Apr 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,040,275",  0.0%,  2.6%,139.4
May 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,047,718",  0.4%,  2.8%,140.0
Jun 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,050,188",  0.1%,  2.7%,140.1
Jul 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,054,500",  0.2%,  2.9%,140.4
Aug 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,056,138",  0.1%,  3.1%,140.5
Sep 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,059,567",  0.2%,  3.0%,140.8
Oct 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,063,118",  0.2%,  3.2%,141.0
Nov 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,059,427", -0.2%,  2.5%,140.8
Dec 2018,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,062,691",  0.2%,  2.4%,141.0
Jan 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,067,478",  0.2%,  2.3%,141.3
Feb 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,061,962", -0.3%,  1.5%,140.9
Mar 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,073,732",  0.6%,  1.7%,141.7
Apr 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,086,598",  0.6%,  2.3%,142.6
May 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,092,359",  0.3%,  2.2%,143.0
Jun 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,096,319",  0.2%,  2.3%,143.3
Jul 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,097,225",  0.0%,  2.1%,143.3
Aug 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,097,381",  0.0%,  2.0%,143.3
Sep 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,098,372",  0.0%,  1.9%,143.4
Oct 2019,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$2,099,541",  0.1%,  1.8%,143.5
